"asin","sku","product_name","ad_spend","ad_clicks","ad_impressions","ad_units_ordered","ad_sales","profit","total_expense","sales_amount","ad_conversions","quantity","formatted_date"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","186.1900000000","47","8796","4","156.0000000000","-144.2514995240","378.2514995240","234.0000000000","3","6","2024-08-26"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","227.1800000000","54","9291","3","117.0000000000","-134.5414997150","368.5414997150","234.0000000000","3","6","2024-08-25"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","198.2100000000","54","8804","3","117.0000000000","-106.3862500000","301.3862500000","195.0000000000","3","5","2024-08-24"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","162.1600000000","43","9525","0","0.0000000000","-162.1600000000","162.1600000000",,"0",,"2024-08-23"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","153.9400000000","39","7756","1","39.0000000000","-98.8457500000","215.8457500000","117.0000000000","1","3","2024-08-22"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","78.5400000000","19","7280","0","0.0000000000","-5.0810000000","161.0810000000","156.0000000000","0","4","2024-08-21"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","99.7500000000","31","6019","4","152.0000000000","-26.2910000000","182.2910000000","156.0000000000","4","4","2024-08-20"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","45.8100000000","15","3120","2","78.0000000000","9.2842500000","107.7157500000","117.0000000000","2","3","2024-08-19"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","57.3700000000","20","3489","2","78.0000000000","-39.0052500000","78.0052500000","39.0000000000","2","1","2024-08-18"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","56.3600000000","16","3835","2","78.0000000000","53.8285000000","180.1715000000","234.0000000000","2","6","2024-08-17"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","55.4900000000","17","4363","2","78.0000000000","-37.1252500000","76.1252500000","39.0000000000","2","1","2024-08-16"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","72.4000000000","21","3997","0","0.0000000000","-35.6705000000","113.6705000000","78.0000000000","0","2","2024-08-15"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","65.5800000000","20","5062","2","78.0000000000","7.8790000000","148.1210000000","156.0000000000","2","4","2024-08-14"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","85.6700000000","30","7237","0","0.0000000000","-48.9405000000","126.9405000000","78.0000000000","0","2","2024-08-13"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","72.1000000000","25","9254","1","39.0000000000","-53.7352500000","92.7352500000","39.0000000000","1","1","2024-08-12"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","76.6900000000","28","5702","1","39.0000000000","-39.9605000000","117.9605000000","78.0000000000","1","2","2024-08-11"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","43.6100000000","18","3769","0","0.0000000000","-43.6100000000","43.6100000000",,"0",,"2024-08-10"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","47.8300000000","18","4043","0","0.0000000000","-47.8300000000","47.8300000000",,"0",,"2024-08-09"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","51.9200000000","18","4939","0","0.0000000000","-33.5552500000","72.5552500000","39.0000000000","0","1","2024-08-08"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","96.7700000000","35","6636","0","0.0000000000","-60.0405000000","138.0405000000","78.0000000000","0","2","2024-08-07"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","75.3100000000","27","4574","0","0.0000000000","-1.8510000000","157.8510000000","156.0000000000","0","4","2024-08-06"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","54.2100000000","19","4497","0","0.0000000000","-54.2100000000","54.2100000000",,"0",,"2024-08-05"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","85.0200000000","25","5354","1","39.0000000000","-29.9257500000","146.9257500000","117.0000000000","1","3","2024-08-04"
